A	B	DRB1	freq
1	55	0101	0.000123
1	55	0103	0
1	55	0301	0.000052
1	55	0302	0
1	55	0401	0.000219
1	55	0402	0.000004
1	55	0403	0.000001
1	55	0404	0.000007
1	55	0405	0.000002
1	55	0407	0.00023
1	55	0410	0
1	55	0411	0
1	55	0413	0
1	55	0414	0
1	55	0417	0
1	55	0418	0
1	55	0701	0.000063
1	55	0801	0.000012
1	55	0803	0.000002
1	55	0804	0.000001
1	55	0810	0.000002
1	55	0901	0.000009
1	55	1001	0.000005
1	55	1101	0.000127
1	55	1102	0.000002
1	55	1103	0.000003
1	55	1104	0.000027
1	55	1108	0
1	55	1111	0
1	55	1201	0.000023
1	55	1202	0
1	55	1301	0.000154
1	55	1302	0.000039
1	55	1303	0.000005
1	55	1305	0
1	55	1306	0.000001
1	55	1322	0
1	55	1401	0.000291
1	55	1402	0
1	55	1404	0
1	55	1405	0
1	55	1407	0.000003
1	55	1408	0
1	55	1409	0
1	55	1410	0
1	55	1417	0
1	55	1423	0.000001
1	55	1501	0.000097
1	55	1502	0.000002
1	55	1601	0.00001
1	55	1602	0.000005
1	56	0101	0.000138
1	56	0102	0
1	56	0103	0.000001
1	56	0106	0
1	56	0301	0.000011
1	56	0302	0
1	56	0401	0.000021
1	56	0402	0.000001
1	56	0403	0.000005
1	56	0404	0.000028
1	56	0405	0
1	56	0406	0
1	56	0407	0
1	56	0408	0
1	56	0701	0.000019
1	56	0801	0.000016
1	56	0803	0.000001
1	56	0901	0.000002
1	56	1001	0.000001
1	56	1101	0.000024
1	56	1102	0.000002
1	56	1104	0.000011
1	56	1106	0
1	56	1201	0.000003
1	56	1202	0
1	56	1301	0.000028
1	56	1302	0.000004
1	56	1303	0
1	56	1304	0
1	56	1305	0.000001
1	56	1401	0.000013
1	56	1402	0.000001
1	56	1404	0
1	56	1407	0
1	56	1428	0
1	56	1439	0
1	56	1501	0.00003
1	56	1502	0.000023
1	56	1601	0.000007
1	56	1602	0.000001
1	57	0101	0.00055
1	57	0102	0.000029
1	57	0103	0.000071
1	57	0301	0.000583
1	57	0302	0
1	57	0304	0.000002
1	57	0305	0.000001
1	57	0401	0.000352
1	57	0402	0.000365
1	57	0403	0.000112
1	57	0404	0.000227
1	57	0405	0.000016
1	57	0406	0
1	57	0407	0.000021
1	57	0408	0.000029
1	57	0410	0
1	57	0411	0
1	57	0418	0
1	57	0438	0.000001
1	57	0701	0.011211
1	57	0801	0.000106
1	57	0802	0.000005
1	57	0803	0.000001
1	57	0804	0.000045
